hostname,packagechecks,,,,limitchecks,,,systemchecks,,
whwccnp02.who.int,name,version,architecture,comment,name,value,comment,name,value,comment
***,binutils,"2.20.51.0.2
","x86
",Y,nofile,400000,PASS,net.core.rmem_max,212992,FAIL
***,compat-libcap1,"1.10
1.10
","i686
x86
",Y,nproc,65535,PASS,net.core.wmem_max,212992,FAIL
***,compat-libstdc++,N/A,N/A,N,,,,kernel.shmall,4294967296,PASS
IF THERE ARE BLANK,compat-libstdc++,N/A,N/A,N,,,,kernel.shmmax,68719476736,PASS
SPACES BUT THE,gcc,"4.4.7
","x86
",Y,,,,kernel.msgmax,65536,PASS
COMMENT IS Y OR,gcc-c++,"4.4.7
","x86
",Y,,,,kernel.msgmnb,65536,PASS
PASS THEN PRESS,glibc,"2.12
2.12
","i686
x86
",Y,,,,vm.swappiness,60,PASS
<CTRL> <A> &,glibc,"2.12
2.12
","i686
x86
",Y,,,,,,
DOUBLE CLICK ON,glibc-devel,"2.12
2.12
","x86
i686
",Y,,,,,,
THE EDGE OF ANY ROW,libaio,"0.3.107
0.3.107
","i686
x86
",Y,,,,,,
OR COLUMN TO VIEW,libaio-devel,"0.3.107
0.3.107
","i686
x86
",Y,,,,,,
DETAILS,libgcc,"4.4.7
4.4.7
","x86
i686
",Y,,,,,,
***,libgcc,"4.4.7
4.4.7
","x86
i686
",Y,,,,,,
***,libstdc++,"4.4.7
4.4.7
","x86
i686
",Y,,,,,,
***,libstdc++,"4.4.7
4.4.7
","x86
i686
",Y,,,,,,
,libstdc++-devel,"4.4.7
4.4.7
","i686
x86
",Y,,,,,,
,libXext,"1.3.3
1.3.3
","x86
i686
",Y,,,,,,
,libXext,"1.3.3
1.3.3
","x86
i686
",Y,,,,,,
,libXtst,"1.2.3
1.2.3
","x86
i686
",Y,,,,,,
,libXtst,"1.2.3
1.2.3
","x86
i686
",Y,,,,,,
,openmotif,N/A,N/A,N,,,,,,
,openmotif22,"2.2.3
","x86
",Y,,,,,,
,sysstat,"9.0.4
","x86
",Y,,,,,,
,zlib,"1.2.3
1.2.3
","i686
x86
",Y,,,,,,
,zlib,"1.2.3
1.2.3
","i686
x86
",Y,,,,,,
,ksh,"20120801
","x86
",Y,,,,,,
,make,"3.81
","x86
",Y,,,,,,
,numactl,"2.0.9
","x86
",Y,,,,,,
,numactl-devel,N/A,N/A,N,,,,,,
,motif,N/A,N/A,N,,,,,,
,motif-devel,N/A,N/A,N,,,,,,
